,#member_w_connection,#total_member,total_connections,inner_connection_ratio,unique_connections,avg_connection_per_member,avg_per_member_w_connection,avg_collaborator_per_member
Fudan University,55,107,416,0.15144230769230768,168,1.5700934579439252,3.0545454545454547,7.5636363636363635
Nanjing University,68,103,542,0.21217712177121772,182,1.766990291262136,2.676470588235294,7.970588235294118
Peking University,41,82,336,0.24404761904761904,137,1.670731707317073,3.341463414634146,8.195121951219512
Shanghai Jiao Tong University,43,73,345,0.17971014492753623,141,1.9315068493150684,3.2790697674418605,8.023255813953488
Tsinghua University,41,76,308,0.237012987012987,118,1.5526315789473684,2.8780487804878048,7.512195121951219
University of Science and Technology of China,40,57,312,0.15384615384615385,126,2.210526315789474,3.15,7.8
Wuhan University,63,156,452,0.15265486725663716,194,1.2435897435897436,3.0793650793650795,7.174603174603175
Zhejiang University,67,134,486,0.21604938271604937,179,1.335820895522388,2.671641791044776,7.253731343283582
